jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
UK,all,,canonical_name,Anthracene oil,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Antibiotics,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Antibiotics,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Antimony and its compounds,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Antimony and its compounds,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Apocynum cannabinum L. and its preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Apocynum cannabinum L. and its preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Benzidine,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Benzidine,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Benzophenone,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Benzophenone,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Betoxycaine,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Betoxycaine,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Boric acid,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
