jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
EU,all,,canonical_name,DIMETHICONE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 626.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/dimethicone,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,DIMETHICONE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 626.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/dimethicone,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,BENZYL SALICYLATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 625.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/benzyl-salicylate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,BENZYL SALICYLATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 625.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/benzyl-salicylate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,COUMARIN,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 599.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/coumarin,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,COUMARIN,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 599.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/coumarin,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Eau,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 580.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/eau,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Eau,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 580.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/eau,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,MENTHOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 572.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/menthol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,MENTHOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 572.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/menthol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,BENZYL ALCOHOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 568.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/benzyl-alcohol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,BENZYL ALCOHOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 568.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/benzyl-alcohol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,SODIUM CITRATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 563.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/sodium-citrate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,SODIUM CITRATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 563.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/sodium-citrate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,POTASSIUM SORBATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 559.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/potassium-sorbate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,POTASSIUM SORBATE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 559.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/potassium-sorbate,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,BUTTER,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 558.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/butter,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,BUTTER,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 558.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/butter,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,ALCOHOL DENAT.,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 525.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/alcohol-denat,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,ALCOHOL DENAT.,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 525.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/alcohol-denat,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,CARBOMER,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 522.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/carbomer,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
