Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Isooctanoic acid, lead(2+) salt, basic"	"293-985-3"	"91671-83-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Zinc sulfide (ZnS), copper and lead-doped"	"271-598-0"	"68585-90-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dilead diruthenium hexaoxide"	"253-389-6"	"37194-88-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead alloy, base, Pb,Sn, dross"	"273-701-4"	"69011-60-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"1H-Isoindole-1,3(2H)-dione, 4,5,6, 7-tetrachloro-2-(triethylplumbyl)-"	"-"	"73928-23-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead dibenzoate"	"212-841-2"	"873-54-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead and Lead compounds (as Pb)"	"-"	"14931-82-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, tallow, reaction products with lead oxide"	"305-196-4"	"94349-78-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead difluoride"	"231-998-8"	"7783-46-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Acetic acid, lead(2+) salt, monohydrate"	"-"	"15773-48-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) selenite"	"231-300-1"	"7488-51-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead selenide"	"235-109-4"	"12069-00-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead fumarate"	"237-220-3"	"13698-55-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Grounding oil"	"-"	"68152-99-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead dichloride"	"231-845-5"	"7758-95-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Naphthenic acids, lead salts"	"263-109-4"	"61790-14-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead chromate"	"231-846-0"	"7758-97-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Plumbane, tributylchloro-"	"-"	"13302-14-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, C8-10-branched, lead salts"	"285-212-3"	"85049-42-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead hydroxide oxide phosphite (Pb3(OH)O(PO3)), hydrate (2:1)"	"-"	"1344-40-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead acetate"	"239-379-4"	"15347-57-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Oils, fish, lead salts"	"271-396-2"	"68553-63-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
